nDCG,Recall,collection,count
"[0.35323, 0.3505, 0.39395, 0.43698]","[0.16025, 0.34033, 0.44324, 0.54549]",mt-rag-govt-elser-512-100-20240611,201
"[0.50962, 0.4448, 0.4836, 0.53814]","[0.20545, 0.40277, 0.51476, 0.6418]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.29255, 0.28361, 0.31251, 0.36379]","[0.1453, 0.27553, 0.34344, 0.46393]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.35, 0.30543, 0.33254, 0.37341]","[0.12872, 0.27864, 0.36003, 0.4573]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.37966485199485195, 0.34911837837837834, 0.3840177992277992, 0.4316247361647361]","[0.16142837837837837, 0.32707507078507086, 0.4189619562419562, 0.5311077606177607]",all,777
