nDCG,Recall,collection,count
"[0.34826, 0.32326, 0.36147, 0.40479]","[0.15514, 0.30101, 0.39657, 0.50314]",mt-rag-govt-elser-512-100-20240611,201
"[0.26667, 0.23477, 0.26184, 0.29623]","[0.10394, 0.22107, 0.28779, 0.36942]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.2766, 0.27942, 0.29887, 0.33751]","[0.13883, 0.27722, 0.32535, 0.41588]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.25962, 0.24235, 0.26124, 0.29732]","[0.10149, 0.22349, 0.28371, 0.36601]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28829166023166025, 0.2704937194337194, 0.2964120334620335, 0.33459283140283136]","[0.12497078507078507, 0.25598312741312745, 0.32392567567567565, 0.414340102960103]",all,777
