nDCG,Recall,collection,count
"[0.15426, 0.15066, 0.18053, 0.20953]","[0.06108, 0.14761, 0.21418, 0.28414]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.24378, 0.2443, 0.26516, 0.30813]","[0.11227, 0.24229, 0.29262, 0.3978]",mt-rag-govt-elser-512-100-20240611,201
"[0.13889, 0.11412, 0.12332, 0.15267]","[0.05913, 0.10635, 0.12844, 0.19733]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.16346, 0.14654, 0.16686, 0.19217]","[0.06386, 0.13389, 0.18578, 0.24581]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.1763198712998713, 0.16531570141570143, 0.18551001287001287, 0.21721715572715575]","[0.07461465894465893, 0.1588714157014157, 0.20700630630630634, 0.28317117117117113]",all,777
