nDCG,Recall,collection,count
"[0.29787, 0.28656, 0.30975, 0.34108]","[0.14255, 0.2797, 0.33546, 0.40586]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.45192, 0.41436, 0.43867, 0.48517]","[0.19407, 0.37609, 0.46063, 0.57025]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28358, 0.28763, 0.33873, 0.37696]","[0.12919, 0.27601, 0.39364, 0.48179]",mt-rag-govt-elser-512-100-20240611,201
"[0.28889, 0.2607, 0.2835, 0.32306]","[0.11016, 0.24099, 0.30636, 0.4003]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.3333316602316602, 0.31505764478764475, 0.34567707850707846, 0.3847595366795367]","[0.14538217503217504, 0.29558111969111966, 0.37727665379665376, 0.4682206821106821]",all,777
