nDCG,Recall,collection,count
"[0.1875, 0.1775, 0.2095, 0.25833]","[0.06803, 0.16747, 0.24287, 0.35417]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28856, 0.29408, 0.31307, 0.34809]","[0.13425, 0.28677, 0.34104, 0.42162]",mt-rag-govt-elser-512-100-20240611,201
"[0.26667, 0.24428, 0.26253, 0.28732]","[0.10135, 0.23127, 0.28738, 0.34799]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.25, 0.23032, 0.25381, 0.29251]","[0.11667, 0.22549, 0.28152, 0.37063]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.24710574002574007, 0.23590815958815958, 0.2592982625482625, 0.29653566280566285]","[0.10464794079794079, 0.2271496138996139, 0.2879281338481338, 0.3741693951093951]",all,777
