nDCG,Recall,collection,count
"[0.29353, 0.29229, 0.31977, 0.37042]","[0.13955, 0.28546, 0.35138, 0.46838]",mt-rag-govt-elser-512-100-20240611,201
"[0.44712, 0.38913, 0.41487, 0.47395]","[0.18405, 0.34195, 0.43006, 0.57073]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.35, 0.27705, 0.30634, 0.35176]","[0.1402, 0.2552, 0.32705, 0.43114]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.31383, 0.28925, 0.31208, 0.33983]","[0.15222, 0.27686, 0.33485, 0.3982]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.3526390347490348, 0.31394765765765764, 0.3402560746460746, 0.38641037323037325]","[0.15467864864864864, 0.2914912998712999, 0.3628065122265122, 0.47017119691119696]",all,777
