nDCG,Recall,collection,count
"[0.3125, 0.27227, 0.2912, 0.33859]","[0.12272, 0.24621, 0.30699, 0.41762]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28723, 0.30208, 0.31856, 0.3708]","[0.14902, 0.30222, 0.34619, 0.46774]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.39303, 0.38695, 0.43273, 0.47837]","[0.18165, 0.37181, 0.47812, 0.59079]",mt-rag-govt-elser-512-100-20240611,201
"[0.28333, 0.27205, 0.29848, 0.34498]","[0.11274, 0.25483, 0.32238, 0.43276]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.32046032175032174, 0.3090980051480052, 0.336118416988417, 0.3840230244530245]","[0.14201592020592022, 0.29425, 0.3643090862290862, 0.4780510553410553]",all,777
