nDCG,Recall,collection,count
"[0.27222, 0.24521, 0.26283, 0.29486]","[0.12533, 0.22589, 0.27792, 0.35187]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.2234, 0.20471, 0.23178, 0.26091]","[0.1141, 0.19716, 0.25865, 0.32666]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.36538, 0.35067, 0.37673, 0.41891]","[0.15008, 0.32809, 0.41551, 0.51352]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.21393, 0.23657, 0.27391, 0.31628]","[0.0971, 0.23712, 0.32253, 0.42289]",mt-rag-govt-elser-512-100-20240611,201
"[0.27026740025740026, 0.2614069626769627, 0.2886741184041184, 0.3253943886743887]","[0.1219355727155727, 0.24920221364221362, 0.3216298712998713, 0.40741535392535394]",all,777
