nDCG,Recall,collection,count
"[0.33654, 0.29499, 0.32687, 0.38005]","[0.12115, 0.26647, 0.35971, 0.48631]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.19444, 0.18049, 0.19378, 0.22807]","[0.08185, 0.16487, 0.20575, 0.28862]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.19403, 0.20913, 0.23521, 0.27631]","[0.08765, 0.20954, 0.27056, 0.36388]",mt-rag-govt-elser-512-100-20240611,201
"[0.21277, 0.20314, 0.22704, 0.25412]","[0.10496, 0.20009, 0.25603, 0.31948]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.23680863577863578, 0.22403033462033464, 0.24817257400257398, 0.2875365122265122]","[0.09946245817245818, 0.21214519948519947, 0.27589559845559847, 0.36847644787644784]",all,777
