nDCG,Recall,collection,count
"[0.40385, 0.38137, 0.42434, 0.47884]","[0.16418, 0.35622, 0.46793, 0.59381]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28889, 0.28121, 0.29215, 0.32944]","[0.11862, 0.2666, 0.31336, 0.4018]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.28358, 0.30143, 0.33651, 0.38999]","[0.13259, 0.30684, 0.38588, 0.51488]",mt-rag-govt-elser-512-100-20240611,201
"[0.22872, 0.2137, 0.23842, 0.2761]","[0.11924, 0.20745, 0.26291, 0.35006]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.30373222651222653, 0.29691864864864864, 0.3260118275418275, 0.37219138996139]","[0.13458011583011584, 0.28668880308880307, 0.3612911196911197, 0.46993389961389964]",all,777
