nDCG,Recall,collection,count
"[0.09043, 0.12217, 0.14433, 0.16774]","[0.03785, 0.13378, 0.18227, 0.23821]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.14428, 0.14106, 0.16065, 0.18921]","[0.06667, 0.14154, 0.18441, 0.25307]",mt-rag-govt-elser-512-100-20240611,201
"[0.1, 0.09135, 0.10274, 0.11544]","[0.04769, 0.08889, 0.11481, 0.14602]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.17308, 0.16929, 0.20292, 0.2415]","[0.06346, 0.1591, 0.23716, 0.32639]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.12870239382239382, 0.1325306821106821, 0.15460135135135133, 0.18092346203346202]","[0.05444060489060489, 0.13216625482625483, 0.18188963963963964, 0.2443027927927928]",all,777
