nDCG,Recall,collection,count
"[0.30851, 0.28778, 0.31226, 0.36304]","[0.14947, 0.27908, 0.33812, 0.45595]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.33889, 0.30186, 0.32915, 0.37217]","[0.12622, 0.27679, 0.35679, 0.45897]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.34328, 0.34972, 0.39376, 0.4352]","[0.15362, 0.34281, 0.44656, 0.54549]",mt-rag-govt-elser-512-100-20240611,201
"[0.50962, 0.44563, 0.48223, 0.53792]","[0.20545, 0.40397, 0.51235, 0.63916]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.37837879021879023, 0.3493207207207207, 0.38275608751608753, 0.4306366537966538]","[0.16014308880308878, 0.32846822393822395, 0.4171378635778636, 0.5288571042471042]",all,777
