nDCG,Recall,collection,count
"[0.25556, 0.20817, 0.21824, 0.26837]","[0.10011, 0.17992, 0.2189, 0.33858]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.28358, 0.26851, 0.30308, 0.35381]","[0.12004, 0.25438, 0.33582, 0.45876]",mt-rag-govt-elser-512-100-20240611,201
"[0.4375, 0.38167, 0.40339, 0.46202]","[0.17508, 0.34604, 0.41564, 0.5535]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.20745, 0.21161, 0.23126, 0.27513]","[0.11277, 0.20785, 0.25462, 0.36017]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.2998725611325611, 0.2710568211068211, 0.29290126126126126, 0.3439472458172458]","[0.12839799227799228, 0.25040939510939514, 0.31045495495495495, 0.4324261518661519]",all,777
