nDCG,Recall,collection,count
"[0.23936, 0.24299, 0.27315, 0.30837]","[0.12668, 0.24628, 0.31055, 0.38999]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.42308, 0.36574, 0.40129, 0.45911]","[0.15585, 0.32841, 0.43843, 0.57165]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28856, 0.27288, 0.3034, 0.35744]","[0.12927, 0.26672, 0.33701, 0.46512]",mt-rag-govt-elser-512-100-20240611,201
"[0.25, 0.21587, 0.24277, 0.27617]","[0.10255, 0.1921, 0.2621, 0.34146]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.3037334362934363, 0.27729925353925355, 0.30824005148005146, 0.35395685971685975]","[0.12956873873873873, 0.2610021106821107, 0.3404039253539254, 0.44681240669240674]",all,777
