nDCG,Recall,collection,count
"[0.38942, 0.32667, 0.34606, 0.38802]","[0.16627, 0.29155, 0.35602, 0.45599]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.20213, 0.1975, 0.21097, 0.24085]","[0.10257, 0.19544, 0.22767, 0.2993]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.21891, 0.23354, 0.24989, 0.29435]","[0.10141, 0.22775, 0.27594, 0.38086]",mt-rag-govt-elser-512-100-20240611,201
"[0.16667, 0.14608, 0.15895, 0.19198]","[0.06444, 0.13663, 0.17496, 0.25061]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.24839293436293436, 0.2294894465894466, 0.24515023166023167, 0.2827653925353925]","[0.11048897039897038, 0.2159025353925354, 0.2623048391248391, 0.3510643243243244]",all,777
