nDCG,Recall,collection,count
"[0.11667, 0.1334, 0.14634, 0.17155]","[0.05463, 0.14, 0.16917, 0.22843]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.24519, 0.21545, 0.25294, 0.30939]","[0.09832, 0.19479, 0.28446, 0.41964]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.12766, 0.14187, 0.17338, 0.19618]","[0.05186, 0.14752, 0.21237, 0.26797]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.21891, 0.22298, 0.25632, 0.29642]","[0.10328, 0.22094, 0.2942, 0.39187]",mt-rag-govt-elser-512-100-20240611,201
"[0.18018160875160874, 0.18058705276705275, 0.20986934362934362, 0.2467109137709138]","[0.07824056628056629, 0.17742473616473614, 0.24282888030888033, 0.3314629987129988]",all,777
