nDCG,Recall,collection,count
"[0.24876, 0.23728, 0.26621, 0.30874]","[0.12405, 0.23176, 0.29544, 0.39223]",mt-rag-govt-elser-512-100-20240611,201
"[0.1383, 0.14978, 0.1801, 0.20676]","[0.05647, 0.14628, 0.21681, 0.27918]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.22596, 0.2253, 0.27093, 0.31975]","[0.08285, 0.21599, 0.32424, 0.44251]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.18889, 0.15792, 0.17531, 0.20388]","[0.08366, 0.14894, 0.18816, 0.25816]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.20206054054054054, 0.19451727155727158, 0.22558075933075933, 0.26272074646074645]","[0.08731275418275418, 0.1876699099099099, 0.25927212355212353, 0.34727792792792794]",all,777
