nDCG,Recall,collection,count
"[0.18905, 0.19408, 0.22445, 0.26022]","[0.09088, 0.2024, 0.26464, 0.35072]",mt-rag-govt-elser-512-100-20240611,201
"[0.20673, 0.21028, 0.24452, 0.29125]","[0.07724, 0.20954, 0.28838, 0.39548]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.09574, 0.10228, 0.12385, 0.14679]","[0.04122, 0.10395, 0.14966, 0.20835]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.12778, 0.12262, 0.14161, 0.15978]","[0.05648, 0.12287, 0.16487, 0.20579]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.15701211068211068, 0.15965065637065637, 0.1862911325611326, 0.217813564993565]","[0.06724396396396398, 0.1620668211068211, 0.22006223938223937, 0.29468025740025744]",all,777
