nDCG,Recall,collection,count
"[0.36318, 0.35692, 0.40792, 0.45526]","[0.16523, 0.34252, 0.45893, 0.57438]",mt-rag-govt-elser-512-100-20240611,201
"[0.28191, 0.24837, 0.29713, 0.33949]","[0.1391, 0.23449, 0.34433, 0.44248]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.35556, 0.30577, 0.32675, 0.3712]","[0.13066, 0.27988, 0.34586, 0.45647]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.52404, 0.45708, 0.49337, 0.54313]","[0.21546, 0.41158, 0.52016, 0.63355]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.38481258687258685, 0.3456186872586873, 0.38518445302445303, 0.43129783783783787]","[0.1643455727155727, 0.32035737451737456, 0.4213990347490348, 0.5309905019305019]",all,777
