nDCG,Recall,collection,count
"[0.15423, 0.1614, 0.18184, 0.21165]","[0.07222, 0.16119, 0.20978, 0.28226]",mt-rag-govt-elser-512-100-20240611,201
"[0.1, 0.09567, 0.10404, 0.12082]","[0.03981, 0.09491, 0.11435, 0.15296]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.12234, 0.12076, 0.14182, 0.17836]","[0.0516, 0.12181, 0.16968, 0.25833]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.25, 0.21368, 0.2333, 0.27778]","[0.09928, 0.1895, 0.24535, 0.34626]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.15958835263835264, 0.1503350321750322, 0.1679093951093951, 0.20025633204633206]","[0.06696661518661519, 0.14388580437580437, 0.18749217503217502, 0.26364888030888034]",all,777
