nDCG,Recall,collection,count
"[0.12222, 0.11887, 0.14305, 0.16797]","[0.05265, 0.11839, 0.167, 0.22811]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.21393, 0.22294, 0.25307, 0.29228]","[0.09751, 0.22318, 0.29299, 0.38648]",mt-rag-govt-elser-512-100-20240611,201
"[0.22596, 0.21277, 0.24443, 0.30029]","[0.08566, 0.19884, 0.2809, 0.41363]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.16489, 0.16901, 0.18123, 0.21655]","[0.068, 0.16764, 0.19956, 0.28189]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.18403929214929213, 0.1830599485199485, 0.20788770913770915, 0.2473032175032175]","[0.07680539253539252, 0.1789503474903475, 0.23796070785070783, 0.3317537194337194]",all,777
