nDCG,Recall,collection,count
"[0.37019, 0.34252, 0.36196, 0.41205]","[0.15309, 0.31756, 0.38527, 0.50286]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.21667, 0.1931, 0.20177, 0.23167]","[0.09265, 0.17552, 0.20681, 0.27622]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.22388, 0.2174, 0.2467, 0.28268]","[0.10661, 0.20652, 0.27866, 0.36123]",mt-rag-govt-elser-512-100-20240611,201
"[0.23404, 0.21409, 0.23745, 0.27052]","[0.11401, 0.20599, 0.26207, 0.34106]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.2638346460746461, 0.24446393822393822, 0.26490808236808233, 0.30255268983268985]","[0.11760902187902188, 0.22893528957528958, 0.2865402574002574, 0.3745701287001287]",all,777
