nDCG,Recall,collection,count
"[0.44231, 0.38769, 0.42983, 0.48717]","[0.17288, 0.35173, 0.47028, 0.60816]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.28889, 0.25535, 0.27932, 0.32325]","[0.11525, 0.22627, 0.29979, 0.40234]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.33831, 0.32967, 0.37894, 0.42971]","[0.14533, 0.31226, 0.43177, 0.55477]",mt-rag-govt-elser-512-100-20240611,201
"[0.29255, 0.26084, 0.29989, 0.34636]","[0.14858, 0.24624, 0.33259, 0.43893]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.34362984555984555, 0.31133090090090093, 0.35035842985842985, 0.4002622265122265]","[0.1465230501930502, 0.2869315572715572, 0.3875072458172459, 0.5057221235521235]",all,777
