nDCG,Recall,collection,count
"[0.23333, 0.22132, 0.24002, 0.27485]","[0.09899, 0.20224, 0.25409, 0.33664]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.4375, 0.3837, 0.42196, 0.47521]","[0.17296, 0.34737, 0.4573, 0.57914]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.25532, 0.2358, 0.26089, 0.29667]","[0.13041, 0.21897, 0.28392, 0.36916]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.32836, 0.29757, 0.3347, 0.37307]","[0.15238, 0.28156, 0.36892, 0.46135]",mt-rag-govt-elser-512-100-20240611,201
"[0.31788921492921496, 0.2880169498069498, 0.31826679536679536, 0.35917337194337196]","[0.14020507078507077, 0.2656577606177606, 0.34541117117117115, 0.44168564993564996]",all,777
