nDCG,Recall,collection,count
"[0.30851, 0.26814, 0.29831, 0.33125]","[0.14459, 0.25754, 0.33085, 0.40569]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.31111, 0.27245, 0.28323, 0.32239]","[0.12187, 0.25012, 0.29104, 0.38679]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.32338, 0.30305, 0.33789, 0.38435]","[0.14204, 0.28817, 0.37164, 0.48236]",mt-rag-govt-elser-512-100-20240611,201
"[0.45192, 0.41585, 0.4454, 0.48311]","[0.18806, 0.38314, 0.47493, 0.56504]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.3513493178893179, 0.31771064350064354, 0.3444308494208495, 0.38358613899613897]","[0.1503037837837838, 0.29736732303732305, 0.37074913770913775, 0.46380257400257396]",all,777
