nDCG,Recall,collection,count
"[0.19712, 0.20188, 0.22795, 0.2725]","[0.08429, 0.19043, 0.2579, 0.36335]",mt-rag-clapnq-elser-512-100-20240503,208
"[0.08333, 0.08967, 0.10133, 0.13045]","[0.03333, 0.09265, 0.122, 0.19029]",mt-rag-fiqa-beir-elser-512-100-20240501,180
"[0.09043, 0.10459, 0.12724, 0.15594]","[0.0352, 0.11099, 0.15833, 0.22828]",mt-rag-ibmcloud-elser-512-100-20240502,188
"[0.16418, 0.17408, 0.19581, 0.22671]","[0.06704, 0.17849, 0.23122, 0.3069]",mt-rag-govt-elser-512-100-20240611,201
"[0.13642391248391247, 0.14515397683397682, 0.16593555984555988, 0.19954495495495495]","[0.056144607464607456, 0.1454685328185328, 0.19542401544401547, 0.275974954954955]",all,777
